market_type,distance_to_center_group,sale_listings,avg_sale_price_rub,median_sale_price_rub,avg_sale_price_per_sqm,median_sale_price_per_sqm,rental_listings,avg_monthly_rent_rub,median_monthly_rent_rub,avg_rent_per_sqm,median_rent_per_sqm
New Builds,0-5 km,785,22664192.36,22040000.0,433043.57,423000.0,1778,88807.65,86150.0,1661.98,1617.5
Secondary Market,0-5 km,4500,24307856.22,23495000.0,379226.56,372000.0,1778,88807.65,86150.0,1661.98,1617.5
New Builds,10-15 km,2544,14476953.62,13199000.0,261576.14,237150.0,6294,51467.94,47100.0,928.17,859.0
Secondary Market,10-15 km,15557,12641420.71,11456000.0,188824.95,175200.0,6294,51467.94,47100.0,928.17,859.0
New Builds,15-25 km,1582,12682137.17,11896500.0,227434.39,215800.0,4675,44477.58,40700.0,806.61,753.0
Secondary Market,15-25 km,11784,10367588.42,9374000.0,154641.67,143500.0,4675,44477.58,40700.0,806.61,753.0
New Builds,25+ km,1352,6566321.75,5862000.0,118520.12,109450.0,2784,24584.73,21700.0,437.97,406.0
Secondary Market,25+ km,6969,5346660.5,4761000.0,78995.97,72900.0,2784,24584.73,21700.0,437.97,406.0
New Builds,5-10 km,1578,16358332.7,15045500.0,299678.39,276000.0,4074,61431.15,57100.0,1110.57,1046.0
Secondary Market,5-10 km,10191,15971176.92,14813000.0,238976.01,227500.0,4074,61431.15,57100.0,1110.57,1046.0
