id,date_posted,complex_id,complex_name,developer,complex_class,district,okrug,lat,lon,total_area,rooms,floor,total_floors,completion_year,ready_status,metro_station,metro_line,metro_distance_min,to_center_km,price_rub,price_per_sqm,deal_type,subsidized_mortgage,mortgage_rate_at_listing,listing_year,listing_month,listing_quarter,price_mln,is_first_floor,is_last_floor,floor_ratio,subsidized_mortgage_int,distance_to_center_group,rooms_group,sale_price_group,market_type
N000001,2023-11-22,NB0250,Level Residence,PIK,business,Sosenskoye,NAO,55.56126,37.42837,89.3,4,25,35,2027,under_construction,Kutuzovskaya,Filyovskaya,251,24.59,22075000,247200,DDU,True,15.5,2023,11,4,22.075,False,False,0.7142857142857143,1,15-25 km,4 rooms,15-25 mln RUB,New Builds
N000002,2021-07-08,NB0015,Sheremetyevsky Residence,LSR,business,Novo-Peredelkino,ZAO,55.65817,37.32272,75.9,3,11,17,2025,under_construction,Polyanka,Serpukhovsko-Timiryazevskaya,251,21.5,22445000,295700,DDU,True,11.0,2021,7,3,22.445,False,False,0.6470588235294118,1,15-25 km,3 rooms,15-25 mln RUB,New Builds
N000003,2022-02-20,NB0170,Sheremetyevsky Residence,Etalon,economy,Brateyevo,YuAO,55.63503,37.73292,48.6,1,20,25,2025,under_construction,Mayakovskaya,Zamoskvoretskaya,208,14.97,7075000,145600,DDU,True,22.5,2022,2,1,7.075,False,False,0.8,1,10-15 km,1 room,7-10 mln RUB,New Builds
N000004,2025-03-23,NB0230,Sheremetyevsky Residence,Capital Group,comfort,Voronovskoye,TAO,55.28977,37.20171,36.5,1,11,22,2027,under_construction,Krasnopresnenskaya,Koltsevaya,695,57.96,3011000,82500,installment,False,23.5,2025,3,1,3.011,False,False,0.5,0,25+ km,1 room,<7 mln RUB,New Builds
N000005,2022-08-05,NB0177,Prokshino Residence,GK A101,comfort,Krasnopakhorskoye,TAO,55.43499,37.31218,52.2,1,22,22,2026,under_construction,Yugo-Zapadnaya,Sokolnicheskaya,338,40.42,4420000,84700,DDU,True,12.0,2022,8,3,4.42,False,True,1.0,1,25+ km,1 room,<7 mln RUB,New Builds
N000006,2022-05-23,NB0133,Odintsovo-1 Residence,Capital Group,economy,Zelenograd,ZelAO,55.96562,37.21189,75.7,3,2,25,2027,under_construction,Sokol,Zamoskvoretskaya,313,34.72,8169000,107900,DDU,True,12.0,2022,5,2,8.169,False,False,0.08,1,25+ km,3 rooms,7-10 mln RUB,New Builds
N000007,2023-06-14,NB0067,Severny Residence,LSR,business,Zapadnoye Degunino,SAO,55.87736,37.52278,44.3,1,2,25,2026,under_construction,Rizhskaya,Kaluzhsko-Rizhskaya,144,15.03,11909000,268800,FZ214,True,10.0,2023,6,2,11.909,False,False,0.08,1,15-25 km,1 room,10-15 mln RUB,New Builds
N000008,2024-08-31,NB0028,Sheremetyevsky Residence,LSR,business,Strogino,SZAO,55.80037,37.43238,80.4,3,9,17,2026,under_construction,Delovoy Tsentr,MCC,109,12.87,36447000,453300,trade-in,False,18.5,2024,8,3,36.447,False,False,0.5294117647058824,0,10-15 km,3 rooms,25-50 mln RUB,New Builds
N000009,2025-04-23,NB0161,Headliner Residence,GK A101,comfort,Koptevo,SAO,55.83663,37.49757,33.2,1,16,22,2028,under_construction,Rechnoy Vokzal,Zamoskvoretskaya,25,12.0,7502000,226000,DDU,False,23.5,2025,4,2,7.502,False,False,0.7272727272727273,0,10-15 km,1 room,7-10 mln RUB,New Builds
N000010,2025-05-21,NB0190,Triumph Palace Residence,FSK,economy,Koptevo,SAO,55.84371,37.51231,48.2,1,25,25,2027,under_construction,Arbatskaya (F),Filyovskaya,143,12.07,9504000,197200,DDU,False,23.5,2025,5,2,9.504,False,True,1.0,0,10-15 km,1 room,7-10 mln RUB,New Builds
N000011,2025-08-09,NB0031,Prokshino Residence,LSR,comfort,Kuntsevo,ZAO,55.69545,37.45174,43.8,1,9,22,2025,completed,Belorusskaya,Koltsevaya,152,12.42,13208000,301600,FZ214,False,19.5,2025,8,3,13.208,False,False,0.4090909090909091,0,10-15 km,1 room,10-15 mln RUB,New Builds
N000012,2022-07-01,NB0055,Symbol Residence,FSK,economy,Dorogomilovo,ZAO,55.75278,37.58166,86.5,3,9,25,2025,under_construction,Smolenskaya (F),Filyovskaya,13,2.45,36144000,417800,trade-in,True,12.0,2022,7,3,36.144,False,False,0.36,1,0-5 km,3 rooms,25-50 mln RUB,New Builds
N000013,2025-02-01,NB0208,Green Park Residence,INGRAD,economy,Pervomayskoye,TAO,55.45777,37.06757,55.0,2,1,30,2025,completed,Partizanskaya,Arbatsko-Pokrovskaya,682,47.87,4327000,78700,DDU,False,23.5,2025,2,1,4.327,True,False,0.03333333333333333,0,25+ km,2 rooms,<7 mln RUB,New Builds
N000015,2023-05-02,NB0077,Headliner Residence,Samolet,economy,Meshchansky,CAO,55.78317,37.66762,44.1,2,23,35,2025,under_construction,Rizhskaya,Kaluzhsko-Rizhskaya,27,4.38,14678000,332800,FZ214,True,10.0,2023,5,2,14.678,False,False,0.6571428571428571,1,0-5 km,2 rooms,10-15 mln RUB,New Builds
N000016,2021-12-13,NB0004,Severny Residence,LSR,business,Sokolinaya Gora,VAO,55.79487,37.71711,42.1,1,5,17,2027,under_construction,Preobrazhenskaya Ploshchad,Sokolnicheskaya,7,7.55,15122000,359200,DDU,True,11.0,2021,12,4,15.122,False,False,0.29411764705882354,1,5-10 km,1 room,15-25 mln RUB,New Builds
N000017,2024-01-05,NB0012,Polar Residence,INGRAD,business,Vnukovskoye,NAO,55.65052,37.30897,49.5,1,16,30,2027,under_construction,Yasenevo,Kaluzhsko-Rizhskaya,181,22.67,11164000,225500,trade-in,True,18.5,2024,1,1,11.164,False,False,0.5333333333333333,1,15-25 km,1 room,10-15 mln RUB,New Builds
N000018,2025-05-20,NB0208,Green Park Residence,INGRAD,economy,Pervomayskoye,TAO,55.45777,37.06757,57.2,2,1,30,2025,completed,Yugo-Zapadnaya,Sokolnicheskaya,419,47.87,4245000,74200,trade-in,False,23.5,2025,5,2,4.245,True,False,0.03333333333333333,0,25+ km,2 rooms,<7 mln RUB,New Builds
N000019,2021-05-02,NB0188,Silver Park Residence,INGRAD,comfort,Marushkinskoye,NAO,55.57018,37.24158,106.5,4,2,17,2028,under_construction,Frunzenskaya,Sokolnicheskaya,332,31.35,10016000,94100,DDU,True,11.0,2021,5,2,10.016,False,False,0.11764705882352941,1,25+ km,4 rooms,10-15 mln RUB,New Builds
N000020,2022-12-27,NB0124,Scandinavia Residence,FSK,economy,Meshchansky,CAO,55.78988,37.62251,56.3,2,19,22,2026,under_construction,Prospekt Mira,Koltsevaya,20,4.0,21456000,381100,FZ214,True,10.0,2022,12,4,21.456,False,False,0.8636363636363636,1,0-5 km,2 rooms,15-25 mln RUB,New Builds
N000021,2023-08-14,NB0006,Preobrazhenie Residence,GK Granel,comfort,Klyonovskoye,TAO,55.26801,37.45304,54.1,1,6,25,2027,under_construction,Park Pobedy,Arbatsko-Pokrovskaya,633,55.05,4150000,76700,FZ214,True,15.5,2023,8,3,4.15,False,False,0.24,1,25+ km,1 room,<7 mln RUB,New Builds
N000022,2021-06-01,NB0108,Preobrazhenie Residence,DONSTROY,economy,Moskvorechye-Saburovo,YuAO,55.65559,37.65945,46.7,1,2,22,2028,under_construction,Kurskaya,Koltsevaya,141,11.2,6921000,148200,trade-in,True,11.0,2021,6,2,6.921,False,False,0.09090909090909091,1,10-15 km,1 room,<7 mln RUB,New Builds
