feature,importance
categorical__okrug_CAO,0.26213511210519685
numeric__total_area,0.21349233984904317
numeric__to_center_km,0.20062027682784014
numeric__metro_distance_min,0.0867255668332312
numeric__lon,0.056047758959615265
numeric__listing_year,0.033406381766646655
numeric__lat,0.031133198897996914
numeric__mortgage_rate_at_listing,0.016145393920498116
categorical__market_type_Secondary Market,0.01407187199768881
categorical__market_type_New Builds,0.013841503810077751
numeric__floor_ratio,0.007882871142164363
numeric__listing_month,0.005934801841898299
numeric__floor,0.005922547971218175
numeric__total_floors,0.00532021496478725
categorical__district_Dorogomilovo,0.004578735099258778
categorical__okrug_TAO,0.0037822990434283658
categorical__okrug_NAO,0.0031635599309456698
categorical__okrug_YuZAO,0.00290855013717685
categorical__okrug_ZAO,0.002834372105444572
numeric__rooms,0.0022114138587275467
categorical__okrug_SAO,0.0018291424419140314
numeric__listing_quarter,0.0014335475402630718
categorical__okrug_SZAO,0.001195718454487846
categorical__district_Gagarinsky,0.000928367180249421
categorical__metro_line_Sokolnicheskaya,0.0008844940568712603
categorical__metro_line_Serpukhovsko-Timiryazevskaya,0.0008019610339596673
categorical__district_Yasenevo,0.000688824962051975
categorical__district_Prospekt Vernadskogo,0.0006751139923565012
categorical__district_Mosrentgen,0.0006750975030513947
categorical__district_Krylatskoye,0.0006484729372218423
categorical__district_Strogino,0.0006166520378390731
categorical__metro_line_Zamoskvoretskaya,0.000500950992149499
categorical__metro_line_Arbatsko-Pokrovskaya,0.0004979172719557579
categorical__metro_line_Kaluzhsko-Rizhskaya,0.0004923335974381919
categorical__district_Preobrazhenskoye,0.00046316774857645907
categorical__okrug_SVAO,0.00044932608757459824
categorical__metro_station_Tyoply Stan,0.0004312969498183539
categorical__okrug_YuAO,0.00041945927726695897
categorical__district_Ramenki,0.00039330752385293
categorical__metro_line_Koltsevaya,0.00039222712537750995
categorical__distance_to_center_group_5-10 km,0.00038454887502875526
categorical__district_Zamoskvorechye,0.0003685720333570676
categorical__metro_line_Tagansko-Krasnopresnenskaya,0.0003154328186874304
categorical__metro_line_Filyovskaya,0.0003025570237968432
categorical__distance_to_center_group_15-25 km,0.00029392545580358043
categorical__district_Lomonosovsky,0.00028863231990178034
categorical__distance_to_center_group_10-15 km,0.0002686136713939483
categorical__district_Beskudnikovsky,0.00026716802835649985
categorical__metro_line_Lyublinsko-Dmitrovskaya,0.0002466992652948632
categorical__district_Donskoy,0.00022854190200602667
categorical__district_Meshchansky,0.0002238597245919239
categorical__district_Tverskoy,0.00020609305121086047
categorical__district_Pokrovskoye-Streshnevo,0.00020122549067189528
numeric__is_first_floor,0.0001806281574663733
categorical__metro_station_Universitet,0.00017761842401953603
categorical__district_Yuzhnoye Tushino,0.00017533971895210303
categorical__district_Troparyovo-Nikulino,0.00017053190405091768
categorical__district_Veshnyaki,0.00017005883128800672
categorical__district_Cheryomushki,0.00016736094745897973
categorical__okrug_VAO,0.00016522044511305898
categorical__metro_station_Nagornaya,0.00016206286776962244
categorical__metro_station_Prospekt Vernadskogo,0.00016065131880387476
categorical__district_Tagansky,0.00015847779264975607
categorical__district_Yakimanka,0.00015764643540206797
categorical__district_Akademichesky,0.00015439464967140337
numeric__is_last_floor,0.00014810866574744717
categorical__district_Izmaylovo,0.00013820646109983552
