feature,importance
numeric__to_center_km,0.22487940349638463
numeric__total_area,0.20989699470579923
numeric__metro_distance_min,0.17114080188674632
categorical__okrug_CAO,0.16180046065016077
numeric__lon,0.033284305412498785
categorical__renovation_designer,0.025873748286566117
categorical__okrug_ZAO,0.020709569412367717
numeric__listing_year,0.01945501123818467
numeric__lat,0.017917622012372368
categorical__renovation_euro,0.015773952078222526
categorical__okrug_YuZAO,0.015429723491078927
categorical__okrug_SZAO,0.013235476181697148
categorical__building_type_khrushchev,0.011930181750030857
categorical__building_type_panel,0.008242492083550637
categorical__renovation_no_renovation,0.0052864607265587366
categorical__building_type_monolith,0.005138406685363337
categorical__building_type_stalin,0.004953790214411797
categorical__okrug_TAO,0.0036367318349460726
categorical__renovation_cosmetic,0.0031591327414302916
categorical__district_Dorogomilovo,0.0021315086382345536
numeric__furnished,0.002056708242738699
categorical__district_Krylatskoye,0.001808724772173056
categorical__district_Prospekt Vernadskogo,0.0017987214448508756
categorical__district_Khamovniki,0.0017083555079849193
categorical__building_type_brick,0.0015596649311059266
numeric__furnished_int,0.0014134213980026098
numeric__listing_month,0.0011714784388077188
categorical__okrug_NAO,0.0010818086870698674
categorical__district_Gagarinsky,0.0010168852094429633
categorical__district_Mosrentgen,0.0009374333935409768
numeric__building_age,0.000878658488941468
categorical__district_Strogino,0.000800072329971927
categorical__district_Arbat,0.000767260715533122
categorical__district_Lomonosovsky,0.0007514324126628573
numeric__rooms,0.0006751919273638986
categorical__district_Mitino,0.0006189265797165494
categorical__district_Tverskoy,0.0006017199538852697
categorical__okrug_VAO,0.0005840836204554202
categorical__district_Yakimanka,0.0005500499830038173
categorical__metro_station_Tyoply Stan,0.0004945462677086007
categorical__district_Sokol,0.00039795874829155303
categorical__district_Kurkino,0.0003170548702824392
categorical__district_Meshchansky,0.00029392973413125585
categorical__district_Troparyovo-Nikulino,0.00027080507224822703
categorical__district_Chertanovo Yuzhnoye,0.0002698516239076498
numeric__pets_allowed,0.00021149803877715156
numeric__building_year,0.00021106988268649677
numeric__pets_allowed_int,0.00019382066888998342
categorical__district_Ramenki,0.00018420291812828166
categorical__metro_station_Ploshchad Ilyicha,0.00017304793460306796
categorical__district_Presnensky,0.00016745562423616664
categorical__district_Tagansky,0.00016344581051581903
numeric__floor_ratio,0.0001354268406478425
categorical__district_Shchukino,0.00012791744483607234
categorical__metro_station_Krasnopresnenskaya,0.00012788106529429194
categorical__district_Ostankinsky,0.00012393436914893575
categorical__district_Chertanovo Severnoye,9.959956053306994e-05
numeric__floor,9.820267398151546e-05
categorical__district_Khoroshyovsky,9.586793200234452e-05
categorical__district_Izmaylovo,7.96478062258122e-05
categorical__district_Krasnoselsky,7.839223075107861e-05
categorical__metro_station_Ulitsa Akademika Yangelya,7.183645265874513e-05
categorical__district_Sokolinaya Gora,6.403173161386003e-05
numeric__listing_quarter,5.607468474189175e-05
categorical__district_Novo-Peredelkino,4.219477910656744e-05
categorical__district_Marfino,3.649846017695029e-05
categorical__metro_station_Rechnoy Vokzal,3.595471721032526e-05
numeric__total_floors,3.552661363769916e-05
categorical__metro_line_Serpukhovsko-Timiryazevskaya,3.513093644174371e-05
categorical__metro_station_Park Pobedy,3.478628010529127e-05
categorical__district_Zamoskvorechye,3.3088567567438644e-05
categorical__metro_station_Timiryazevskaya,3.0631915862884656e-05
categorical__metro_station_Strogino,2.98115431526387e-05
categorical__metro_line_Filyovskaya,2.685678707964145e-05
categorical__district_Voykovsky,2.4025888514143104e-05
categorical__metro_station_Chistye Prudy,2.3740163487551052e-05
numeric__deposit_months,2.201818136763934e-05
